EmployeeNumber,Age,Gender,Attrition,BusinessTravel,Department,JobRole,EducationField,MaritalStatus,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,StandardHours,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
739,34,Male,No,Travel_Rarely,Sales,Account Manager,Marketing,Married,4,2,1,2,80,674,91,12051,7712,4,3,2,5,Y,Yes,17,3,2,0,12,2,3,11,6,5,11
1112,31,Male,Yes,Travel_Rarely,Customer Support,Customer Support Specialist,Other,Married,2,4,1,3,80,1430,92,13244,5131,1,2,4,2,Y,No,18,3,1,0,7,2,3,6,1,5,3
200,33,Female,No,Travel_Rarely,Data & Analytics,Bi Analyst,Computer Science,Single,1,4,1,3,80,790,40,19092,4215,4,1,1,1,Y,No,16,3,2,0,10,1,3,1,0,1,0
1242,23,Male,No,Travel_Rarely,Customer Support,Technical Support Engineer,Computer Science,Married,28,1,1,1,80,104,52,24338,6040,3,2,4,4,Y,No,23,3,2,3,3,1,3,3,2,2,2
1322,38,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Other,Single,20,3,1,3,80,1429,53,11155,9818,4,3,1,9,Y,No,18,4,4,1,19,3,3,3,1,3,1
923,41,Male,No,Travel_Rarely,Customer Support,Support Team Lead,Information Technology,Married,12,4,1,2,80,1141,76,19447,3765,1,1,1,0,Y,No,25,3,4,0,18,3,3,5,4,3,3
1430,31,Male,Yes,Travel_Frequently,It Operations,System Administrator,Computer Science,Married,19,4,1,3,80,976,51,25546,2678,1,1,1,3,Y,No,14,3,1,0,11,2,2,11,11,0,9
217,30,Female,Yes,Travel_Rarely,Sales,Account Manager,Other,Married,6,3,1,3,80,1018,63,10533,3873,3,2,4,4,Y,Yes,15,3,4,0,13,3,3,3,2,3,2
858,32,Male,No,Travel_Rarely,Sales,Account Manager,Business Administration,Single,23,4,1,2,80,175,55,5312,3855,3,1,1,3,Y,No,19,3,3,0,15,4,3,2,2,2,2
254,20,Female,No,Non-Travel,Customer Support,Technical Support Engineer,Computer Science,Married,22,3,1,2,80,1326,88,5940,7160,1,2,2,8,Y,Yes,14,3,1,1,0,3,3,0,0,0,0
153,37,Female,No,Travel_Rarely,Engineering,Software Engineer,Computer Science,Married,24,4,1,2,80,1210,68,12980,7013,3,3,2,9,Y,No,18,3,4,3,15,3,4,4,2,1,3
195,26,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Software Engineering,Divorced,1,3,1,3,80,1362,86,22115,4414,3,1,1,2,Y,No,23,3,3,0,4,2,3,2,0,0,0
1380,31,Female,No,Travel_Frequently,Engineering,Senior Software Engineer,Information Technology,Married,1,2,1,4,80,232,83,11845,4353,1,2,4,8,Y,No,14,3,4,0,9,1,3,2,1,1,2
846,42,Male,No,Travel_Rarely,Customer Support,Support Team Lead,Information Technology,Married,1,3,1,1,80,539,70,25818,6896,3,2,1,9,Y,Yes,23,3,2,0,21,0,2,7,2,0,4
69,35,Male,No,Travel_Rarely,Engineering,Qa Engineer,Electrical Engineering,Married,2,3,1,4,80,979,75,25250,4648,2,1,3,7,Y,Yes,11,4,2,2,18,2,4,7,7,1,4
131,28,Male,Yes,Travel_Frequently,Human Resources,Hr Executive,Human Resources,Single,17,3,1,2,80,756,43,8382,4393,4,1,4,1,Y,No,20,3,3,1,6,3,3,2,0,2,0
1451,50,Male,No,Travel_Frequently,It Operations,System Administrator,Electrical Engineering,Single,25,4,1,1,80,473,55,25979,15113,4,4,4,4,Y,No,23,3,4,1,29,1,3,15,10,2,2
1194,34,Male,No,Travel_Frequently,Engineering,Senior Software Engineer,Computer Science,Single,12,3,1,4,80,736,34,10989,11987,2,3,4,1,Y,No,15,3,3,0,14,3,3,7,0,7,1
301,28,Female,Yes,Travel_Rarely,Engineering,Senior Software Engineer,Computer Science,Married,22,2,1,2,80,828.5,80,19552,4083,4,2,1,8,Y,No,13,3,3,0,9,5,3,6,2,6,6
1080,34,Male,No,Travel_Rarely,Marketing,Content Strategist,Other,Married,29,2,1,3,80,722,72,26521,8238,3,2,2,2,Y,Yes,24,3,2,0,14,3,2,11,4,0,8
1264,32,Female,No,Travel_Rarely,Engineering,Software Engineer,Information Technology,Divorced,6,4,1,3,80,192,65,25491,3544,3,1,2,8,Y,No,13,3,2,2,14,6,3,14,4,4,3
705,41,Male,No,Travel_Rarely,Marketing,Content Strategist,Business Administration,Single,22,5,1,3,80,693,79,23789,6338,3,2,2,4,Y,No,18,3,2,3,21,1,3,20,20,6,18
511,38,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Electrical Engineering,Married,20,3,1,1,80,521,60,6821,4119,2,1,2,9,Y,Yes,14,4,3,1,17,2,3,9,3,6,4
241,35,Female,Yes,Travel_Frequently,Human Resources,Hr Executive,Other,Divorced,7,3,1,3,80,279,94,3423,3941,3,1,3,7,Y,No,14,3,4,0,17,2,1,11,0,7,11
548,41,Male,No,Non-Travel,Engineering,Engineering Manager,Software Engineering,Divorced,8,2,1,3,80,1159,44,4909,7720,3,2,1,2,Y,No,13,3,4,1,24,3,3,21,13,17,7
188,32,Male,No,Travel_Rarely,It Operations,It Manager,Other,Married,23,4,1,3,80,1497,63,14676,3564,4,1,1,5,Y,Yes,18,3,1,1,11,4,1,3,1,1,3
1453,33,Male,No,Travel_Rarely,Product,Product Analyst,Computer Science,Married,3,3,1,3,80,550,78,19411,3679,4,1,3,5,Y,No,24,3,3,1,13,2,2,6,6,1,2
1188,33,Male,No,Travel_Rarely,Customer Support,Support Team Lead,Business Administration,Single,15,4,1,4,80,1447,84,26720,7917,2,2,4,3,Y,No,18,3,1,0,10,2,3,5,2,0,0
1034,25,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Information Technology,Single,12,3,1,1,80,692,63,2451,3481,2,1,4,8,Y,No,21,3,3,1,5,1,0,2,0,0,1
869,41,Male,No,Travel_Rarely,Marketing,Digital Marketing Manager,Business Administration,Married,14,2,1,1,80,1018,30,11505,3675,4,1,1,5,Y,Yes,25,3,1,0,18,3,3,15,14,13,11
948,28,Male,Yes,Travel_Rarely,Data & Analytics,Data Engineer,Statistics,Single,12,1,1,1,80,1339,92,3179,6831,4,2,2,5,Y,No,16,3,2,2,8,3,3,1,0,0,1
985,25,Male,No,Travel_Rarely,Engineering,Engineering Manager,Information Technology,Single,27,1,1,1,80,1344,89,7598,5004,4,2,1,4,Y,No,19,3,1,1,2,1,1,1,0,1,1
284,23,Male,Yes,Travel_Rarely,Engineering,Qa Engineer,Software Engineering,Divorced,27,4,1,3,80,470,76,14270,5950,1,2,3,2,Y,No,25,3,4,0,4,3,3,0,0,0,0
526,27,Male,No,Travel_Rarely,Marketing,Content Strategist,Marketing,Divorced,21,2,1,3,80,825,43,23822,4983,1,2,3,9,Y,Yes,15,3,4,0,5,2,3,2,0,1,0
596,40,Male,No,Travel_Rarely,Marketing,Content Strategist,Marketing,Divorced,8,4,1,4,80,996,34,19878,20094,2,5,3,8,Y,No,15,3,4,0,22,2,3,12,2,12,7
1229,42,Female,No,Travel_Rarely,Engineering,Senior Software Engineer,Software Engineering,Divorced,12,4,1,2,80,671,85,14156,18387,3,4,4,2,Y,Yes,13,3,2,2,24,3,4,11,10,3,8
612,27,Male,No,Travel_Frequently,Sales,Account Manager,Marketing,Married,1,4,1,3,80,869,52,14848,19790,3,5,4,6,Y,No,13,3,4,1,7,4,3,3,2,3,3
610,36,Female,No,Non-Travel,Data & Analytics,Data Scientist,Computer Science,Divorced,3,3,1,2,80,1280,43,10114,19033,3,4,3,7,Y,Yes,17,3,1,2,17,3,4,3,3,1,0
110,48,Male,No,Travel_Rarely,Data & Analytics,Bi Analyst,Data Science,Married,4,3,1,4,80,1442,43,24531,2033,4,1,4,5,Y,No,17,3,4,1,25,2,3,21,16,17,17
1300,34,Male,No,Travel_Frequently,Engineering,Devops Engineer,Computer Science,Divorced,17,4,1,2,80,598,52,10666,9647,2,3,3,4,Y,Yes,17,3,2,1,15,3,4,6,4,2,4
123,35,Female,No,Travel_Rarely,Engineering,Software Engineer,Other,Married,7,2,1,2,80,909,95,19171,3175,3,1,1,6,Y,No,17,3,2,2,13,3,0,4,1,1,3
410,35,Male,No,Travel_Rarely,Marketing,Digital Marketing Manager,Other,Single,2,4,1,1,80,973,60,3181,2344,3,1,2,5,Y,No,11,3,3,1,14,3,3,6,3,6,0
281,33,Female,No,Travel_Frequently,Engineering,Qa Engineer,Electrical Engineering,Single,6,3,1,2,80,486,40,14990,3520,1,1,2,6,Y,No,12,4,1,0,17,1,0,6,4,3,5
607,27,Male,Yes,Non-Travel,Engineering,Senior Software Engineer,Information Technology,Divorced,13,1,1,3,80,1400,78,4269,4493,4,2,4,9,Y,No,16,3,4,0,9,4,3,3,0,2,1
1365,37,Female,Yes,Travel_Rarely,Sales,Sales Manager,Computer Science,Unknown,17,3,1,3,80,1346,48,26530,5828,3,2,1,1,Y,Yes,20,3,1,1,20,1,2,9,9,5,4
472,33,Male,Yes,Travel_Rarely,Customer Support,Support Team Lead,Information Technology,Single,26,4,1,4,80,1031,56,11761,3870,3,1,1,3,Y,No,20,3,3,1,11,2,3,3,1,1,1
464,44,Male,No,Travel_Rarely,Engineering,Devops Engineer,Computer Science,Married,27,3,1,3,80,1176,70,6011,6500,1,2,4,2,Y,No,24,3,4,0,24,2,3,16,15,3,3
345,32,Female,Yes,Travel_Rarely,Product,Product Manager,Business Administration,Single,18,4,1,2,80,487,38,2074,6868,1,3,1,4,Y,No,18,3,3,2,12,3,3,5,1,4,0
1411,33,Male,No,Travel_Rarely,Sales,Sales Executive,Computer Science,Single,29,3,1,4,80,374,99,16215,5067,2,2,3,4,Y,No,25,3,3,1,12,5,3,12,2,10,9
1302,36,Male,No,Travel_Rarely,Data & Analytics,Data Analyst,Statistics,Divorced,11,3,1,4,80,1385,40,12587,9979,2,3,4,2,Y,Yes,19,3,4,0,19,0,2,4,0,2,3
1070,38,Female,Yes,Travel_Frequently,Data & Analytics,Data Engineer,Data Science,Single,2,3,1,4,80,496,75,7479,7080,4,2,2,3,Y,No,12,3,2,0,18,0,3,10,3,9,7
547,35,Male,No,Travel_Frequently,Engineering,Qa Engineer,Other,Married,4,3,1,3,80,576,76,14010,5445,4,2,2,2,Y,No,18,3,2,1,12,3,3,8,4,3,7
929,40,Male,Yes,Non-Travel,Engineering,Software Engineer,Software Engineering,Divorced,28,2,1,4,80,1011,46,5692,25000,1,5,3,0,Y,Yes,13,3,3,0,20,4,3,8,6,4,6
1116,30,Male,Yes,Travel_Rarely,Product,Ux Designer,Business Administration,Single,10,3,1,2,80,958,84,17564,4295,3,1,1,1,Y,No,11,3,2,1,11,4,3,1,1,0,0
68,41,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Computer Science,Single,25,2,1,4,80,691,63,19625,5287,1,2,4,5,Y,Yes,14,3,1,0,21,2,3,6,2,0,4
1055,42,Male,No,Non-Travel,Product,Ux Designer,Business Administration,Married,10,2,1,3,80,463,57,10299,9515,1,3,1,2,Y,No,25,3,4,0,18,0,2,10,10,2,0
542,43,Female,No,Travel_Rarely,Product,Ux Designer,Computer Science,Single,22,3,1,3,80,504,74,16027,5717,1,2,1,2,Y,No,16,3,2,1,23,3,2,14,12,2,7
451,35,Female,Yes,Travel_Rarely,It Operations,It Support Engineer,Information Technology,Married,23,4,1,1,80,255,97,24851,4592,4,1,2,3,Y,Yes,12,3,4,0,14,4,3,13,3,5,6
931,37,Male,No,Travel_Rarely,Marketing,Marketing Specialist,Business Administration,Divorced,25,3,1,1,80,1441,47,19341,21683,2,5,3,0,Y,Yes,11,3,1,2,19,2,3,13,6,9,9
790,34,Male,No,Travel_Rarely,Customer Support,Customer Support Specialist,Information Technology,Married,18,4,1,3,80,540,65,11183,2194,4,1,4,8,Y,No,13,3,2,2,10,5,3,2,0,0,1
572,33,Male,Yes,Travel_Rarely,Sales,Sales Manager,Marketing,Single,22,3,1,2,80,828.5,61,6422,3985,1,2,4,2,Y,Yes,20,3,3,0,14,1,3,14,4,3,12
1402,42,Female,No,Travel_Frequently,Engineering,Devops Engineer,Electrical Engineering,Divorced,20,3,1,3,80,1103,81,13289,6420,1,2,3,0,Y,Yes,20,3,3,1,24,2,3,12,9,7,5
1361,30,Male,No,Travel_Frequently,Marketing,Content Strategist,Business Administration,Divorced,26,5,1,4,80,1356,30,17894,3975,1,1,1,3,Y,No,25,3,1,0,11,1,2,3,0,2,2
1181,43,Female,No,Travel_Rarely,Engineering,Software Engineer,Computer Science,Single,29,4,1,1,80,411,74,7178,9166,1,3,1,4,Y,No,25,3,1,3,23,2,3,16,14,13,9
319,20,Male,No,Travel_Frequently,Data & Analytics,Bi Analyst,Information Technology,Single,16,2,1,3,80,1294,54,9312,15689,1,4,2,6,Y,No,20,3,2,1,0,1,4,0,0,0,0
908,35,Female,No,Travel_Frequently,Sales,Sales Executive,Computer Science,Married,6,3,1,2,80,1079,34,14889,8533,1,3,2,7,Y,Yes,23,4,1,3,13,1,3,0,0,0,0
954,38,Male,No,Non-Travel,Human Resources,Talent Acquisition Specialist,Business Administration,Divorced,17,3,1,1,80,1200,32,23699,11876,3,3,4,1,Y,No,20,3,1,0,16,4,3,14,14,13,6
673,35,Male,No,Travel_Rarely,Sales,Sales Manager,Marketing,Single,29,2,1,1,80,1495,49,25145,4365,4,2,2,0,Y,Yes,23,3,2,0,13,3,3,8,4,2,2
685,53,Male,No,Travel_Rarely,Sales,Sales Manager,Business Administration,Single,11,1,1,1,80,1236,77,8956,6119,4,3,2,6,Y,Yes,25,3,4,0,36,3,3,12,0,8,7
133,47,Male,No,Travel_Rarely,Sales,Sales Executive,Marketing,Divorced,9,4,1,2,80,1427,47,21233,4135,1,1,2,5,Y,No,12,3,2,1,30,3,3,15,12,7,11
1098,24,Female,Yes,Travel_Rarely,Engineering,Unknown,Information Technology,Single,26,4,1,2,80,956,84,15930,16425,3,3,4,7,Y,No,24,3,4,1,5,1,3,4,3,1,4
859,28,Female,No,Non-Travel,Engineering,Senior Software Engineer,Electrical Engineering,Divorced,1,2,1,1,80,1196,73,19699,2887,1,1,2,5,Y,No,11,3,3,0,6,5,4,6,6,2,5
417,33,Female,No,Travel_Rarely,It Operations,Unknown,Information Technology,Single,18,3,1,3,80,312,91,11916,12121,1,3,1,9,Y,No,17,3,4,3,10,2,2,5,0,5,4
1318,49,Female,No,Travel_Rarely,Sales,Sales Executive,Other,Divorced,19,2,1,3,80,1421,88,23555,3544,3,1,3,1,Y,No,13,3,3,1,27,2,4,3,3,3,2
1270,37,Male,No,Travel_Rarely,Sales,Account Manager,Business Administration,Single,18,1,1,3,80,355,84,11405,4452,3,1,2,1,Y,No,16,3,3,0,17,4,2,10,7,1,6
1277,44,Female,No,Non-Travel,Sales,Sales Manager,Business Administration,Single,17,4,1,1,80,101,90,26283,19816,4,4,4,2,Y,Yes,19,4,4,2,27,4,2,11,9,0,2
126,34,Male,Yes,Travel_Rarely,Engineering,Senior Software Engineer,Software Engineering,Divorced,8,3,1,3,80,1440,60,25488,5051,4,2,2,7,Y,Yes,13,3,3,0,13,2,2,11,4,3,6
1297,44,Male,No,Travel_Rarely,Sales,Sales Executive,Business Administration,Divorced,23,2,1,1,80,859,63,16865,4340,1,1,4,8,Y,No,23,3,4,3,24,0,4,13,4,13,13
1082,27,Female,Yes,Travel_Frequently,Engineering,Software Engineer,Information Technology,Divorced,17,4,1,0,80,1194,63,10064,13072,3,4,1,1,Y,No,20,3,4,1,5,1,3,4,1,1,4
709,22,Male,Yes,Travel_Rarely,Engineering,Software Engineer,Other,Single,7,2,1,1,80,628,72,26256,12460,4,3,3,6,Y,Yes,18,3,2,2,2,5,3,1,0,1,0
772,43,Male,No,Travel_Rarely,Product,Product Analyst,Computer Science,Married,3,3,1,1,80,306,69,4523,25000,1,5,3,8,Y,No,21,3,3,0,21,1,4,14,14,12,12
469,43,Male,No,Travel_Frequently,Data And Analytics,Data Engineer,Data Science,Married,16,4,1,1,80,261,42,9373,2943,3,1,4,6,Y,No,20,3,4,3,20,3,3,16,7,3,16
290,25,Male,Yes,Travel_Rarely,Human Resources,Hr Manager,Business Administration,Single,26,2,1,2,80,455,82,18867,9986,4,3,4,8,Y,Yes,21,3,4,0,3,2,3,2,0,0,2
861,44,Male,No,Travel_Rarely,Customer Support,Technical Support Engineer,Information Technology,Divorced,17,3,1,3,80,893,75,19536,3839,1,1,3,4,Y,No,25,4,1,2,22,2,2,16,16,5,16
831,21,Female,No,Travel_Frequently,Engineering,Devops Engineer,Other,Single,6,1,1,1,80,373,78,10795,12208,4,3,1,6,Y,Unknown,24,3,2,1,5,3,3,4,0,2,4
1197,41,Female,No,Travel_Rarely,Customer Support,Technical Support Engineer,Computer Science,Single,6,2,1,4,80,516,63,26491,6720,3,2,1,4,Y,No,20,3,2,0,19,2,2,6,5,4,1
54,33,Male,No,Non-Travel,Product,Product Manager,Information Technology,Single,14,3,1,1,80,1282,34,16102,12399,3,4,4,3,Y,No,16,3,4,2,15,2,2,4,0,2,0
1345,45,Female,No,Travel_Frequently,Engineering,Software Engineer,Information Technology,Married,5,4,1,1,80,1467,36,20286,4358,1,1,4,4,Y,No,25,3,4,0,24,2,3,23,15,14,12
586,30,Female,No,Travel_Rarely,Sales,Sales Manager,Marketing,Divorced,9,1,1,1,80,764,56,9970,5501,1,1,3,4,Y,Yes,25,4,1,0,11,1,2,3,3,1,1
1084,56,Male,No,Travel_Rarely,Engineering,Engineering Manager,Information Technology,Single,23,3,1,1,80,1479,66,8750,4993,3,1,4,0,Y,No,14,3,1,1,35,3,3,29,25,26,29
916,25,Female,No,Travel_Rarely,Engineering,Senior Software Engineer,Other,Divorced,4,1,1,4,80,383,76,25307,3268,4,1,3,4,Y,No,11,3,2,1,6,2,2,2,0,2,0
41,25,Female,Yes,Travel_Rarely,It Operations,System Administrator,Other,Married,24,1,1,1,80,663,67,23144,17418,2,5,1,0,Y,No,18,3,1,1,9,2,3,3,0,2,1
340,46,Male,No,Travel_Rarely,Engineering,Engineering Manager,Information Technology,Married,18,3,1,3,80,1016,89,21574,3153,1,1,1,9,Y,Yes,17,3,4,1,23,2,3,21,2,8,5
692,32,Female,Yes,Travel_Rarely,Data & Analytics,Data Engineer,Data Science,Divorced,2,3,1,3,80,480,48,21450,10899,2,3,2,5,Y,No,15,4,3,0,11,0,3,9,2,5,2
857,27,Female,No,Travel_Frequently,Data & Analytics,Data Engineer,Information Technology,Single,25,2,1,3,80,451,92,21524,3869,4,2,3,3,Y,No,11,3,2,3,8,0,2,7,2,7,3
1110,37,Female,Yes,Non-Travel,It Operations,System Administrator,Other,Single,15,4,1,1,80,898,30,10989,5703,1,2,3,8,Y,No,21,3,4,1,13,3,3,2,0,0,0
922,36,Female,No,Travel_Rarely,Product,Ux Designer,Other,Single,23,4,1,4,80,1136,51,17999,13106,4,4,1,8,Y,No,14,3,3,1,15,5,3,5,2,5,4
84,20,Male,No,Travel_Rarely,Data & Analytics,Data Scientist,Data Science,Divorced,6,3,1,4,80,485,78,24294,10049,3,3,4,1,Y,No,11,3,1,0,0,3,3,0,0,0,0
116,36,Female,No,Travel_Rarely,Human Resources,Hr Executive,Business Administration,Single,17,5,1,3,80,503,76,3493,8487,2,4,4,7,Y,No,14,3,4,1,18,2,3,17,10,2,7
1146,39,Female,No,Travel_Rarely,Sales,Sales Executive,Computer Science,Divorced,14,2,1,4,80,602,43,22651,9862,3,3,2,1,Y,No,25,3,1,0,20,0,3,11,3,3,8
971,29,Male,Yes,Travel_Rarely,Engineering,Engineering Manager,Information Technology,Single,26,3,1,1,80,223,99,14961,5232,1,1,2,6,Y,No,17,3,2,2,9,5,3,4,2,0,2
411,34,Male,No,Travel_Rarely,Engineering,Engineering Manager,Software Engineering,Married,15,3,1,4,80,1117,46,19046,4336,4,2,1,4,Y,No,21,3,3,0,13,2,3,10,0,0,8
756,44,Male,No,Travel_Rarely,Data & Analytics,Data Analyst,Information Technology,Married,13,2,1,2,80,1202,50,8563,6381,2,4,4,2,Y,No,17,3,2,2,25,4,2,20,7,6,8
1440,20,Male,No,Travel_Rarely,Engineering,Devops Engineer,Electrical Engineering,Single,11,3,1,0,80,1017,62,25315,23487,4,5,3,4,Y,No,23,3,2,1,0,1,3,0,0,0,0
271,22,Male,No,Travel_Rarely,Sales,Sales Executive,Other,Divorced,21,4,1,3,80,496,89,25363,6123,2,3,3,2,Y,No,17,3,1,3,3,3,1,3,2,3,3
907,33,Female,No,Travel_Rarely,Customer Support,Support Team Lead,Computer Science,Single,10,3,1,4,80,736,98,2430,3937,4,2,4,8,Y,No,14,4,4,0,13,2,4,12,1,12,8
1239,30,Male,No,Non-Travel,Engineering,Engineering Manager,Computer Science,Single,29,3,1,4,80,948,67,8655,25000,2,5,1,7,Y,Yes,13,3,3,1,10,4,3,2,0,1,2
565,28,Male,Yes,Travel_Frequently,Data And Analytics,Data Engineer,Statistics,Unknown,28,3,1,1,80,153,46,8086,3591,3,1,1,9,Y,No,12,3,3,0,12,1,3,12,1,2,3
807,27,Female,No,Travel_Rarely,Sales,Account Manager,Computer Science,Married,3,4,1,3,80,951,58,3728,6507,4,2,2,1,Y,Yes,20,3,2,2,6,1,3,0,0,0,0
378,36,Male,No,Travel_Rarely,Sales,Account Manager,Marketing,Single,19,4,1,1,80,674,90,3530,2485,2,1,2,8,Y,No,19,3,4,1,15,2,3,5,4,5,3
1169,23,Male,Yes,Travel_Rarely,Engineering,Senior Software Engineer,Information Technology,Married,17,5,1,3,80,161,60,26256,17007,1,4,1,8,Y,No,18,3,4,1,3,1,3,0,0,0,0
97,36,Male,Yes,Travel_Rarely,Engineering,Software Engineer,Electrical Engineering,Married,8,3,1,1,80,352,87,3471,4433,2,2,2,7,Y,Yes,11,3,1,3,16,4,2,1,0,1,0
896,36,Male,No,Non-Travel,Engineering,Software Engineer,Electrical Engineering,Divorced,17,3,1,1,80,1046,50,25656,4755,1,1,3,6,Y,No,16,3,2,0,17,3,4,10,3,0,10
792,38,Male,No,Travel_Rarely,Engineering,Devops Engineer,Information Technology,Single,8,4,1,1,80,269,63,13555,9045,3,3,3,3,Y,Yes,12,3,3,0,14,6,4,10,10,7,6
1353,31,Female,No,Travel_Rarely,It Operations,It Support Engineer,Information Technology,Single,6,4,1,1,80,1011,69,5401,3468,4,1,4,4,Y,No,21,3,2,2,14,2,2,4,0,4,0
1211,39,Male,Yes,Travel_Rarely,Data & Analytics,Data Engineer,Statistics,Single,8,4,1,2,80,1422,92,8638,3980,3,1,1,9,Y,Yes,15,4,2,0,19,3,3,4,0,4,1
49,45,Female,Yes,Non-Travel,Product,Product Manager,Information Technology,Single,14,4,1,4,80,428,39,21937,21099,1,4,2,3,Y,No,21,3,2,0,24,2,2,0,0,0,0
761,34,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Electrical Engineering,Single,27,3,1,2,80,975,85,13875,5769,2,2,4,1,Y,No,13,3,1,0,17,2,3,10,0,3,9
1106,38,Male,No,Travel_Rarely,Engineering,Qa Engineer,Electrical Engineering,Married,24,4,1,2,80,818,32,12421,17409,2,4,4,5,Y,No,12,4,2,0,21,3,2,14,2,9,5
1073,38,Male,Yes,Non-Travel,It Operations,It Support Engineer,Electrical Engineering,Married,4,3,1,3,80,940,88,22578,16328,1,4,1,8,Y,Yes,23,3,1,0,17,3,1,0,0,0,0
154,31,Male,No,Travel_Frequently,Marketing,Digital Marketing Manager,Other,Married,16,2,1,3,80,900,87,17250,9807,2,3,2,8,Y,No,14,3,2,1,10,0,3,6,6,0,6
238,42,Male,No,Travel_Rarely,Engineering,Qa Engineer,Electrical Engineering,Divorced,17,1,1,3,80,596,41,14653,14191,4,3,4,1,Y,No,13,3,2,0,22,2,3,14,5,11,2
55,26,Male,Yes,Travel_Rarely,Engineering,Devops Engineer,Information Technology,Married,19,2,1,1,80,581,55,23507,2910,2,1,2,1,Y,Yes,14,3,4,2,5,5,2,2,1,0,0
395,30,Female,Yes,Non-Travel,Sales,Sales Manager,Computer Science,Divorced,27,4,1,4,80,261,57,26419,6235,4,2,1,2,Y,No,13,3,4,3,8,4,3,5,5,4,3
124,27,Female,No,Travel_Rarely,Data & Analytics,Data Analyst,Statistics,Single,27,2,1,3,80,381,91,6143,5558,2,2,1,1,Y,No,14,3,2,1,9,2,2,3,2,2,3
702,33,Male,No,Travel_Frequently,It Operations,It Support Engineer,Computer Science,Married,17,4,1,2,80,744,96,22496,4230,1,1,2,2,Y,No,14,4,3,1,11,5,3,10,1,9,7
135,36,Female,No,Non-Travel,Sales,Account Manager,Marketing,Married,18,3,1,1,80,442,41,5468,6729,2,2,4,2,Y,Yes,24,3,2,1,16,2,2,14,3,7,4
269,26,Male,Yes,Travel_Frequently,Engineering,Engineering Manager,Software Engineering,Single,4,4,1,2,80,940,73,25424,5169,2,1,1,0,Y,Yes,12,3,4,2,5,2,3,5,5,1,5
386,26,Male,No,Travel_Frequently,Marketing,Content Strategist,Marketing,Married,9,3,1,2,80,899,97,16899,3866,1,1,1,2,Y,No,13,3,1,0,9,4,3,0,0,0,0
98,26,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Information Technology,Married,27,3,1,2,80,1016,96,4850,12599,3,5,2,0,Y,No,16,3,3,2,3,2,2,1,1,1,1
221,46,Male,Yes,Travel_Rarely,Sales,Account Manager,Other,Married,9,2,1,3,80,781,64,21615,5669,4,2,2,0,Y,No,20,3,4,1,27,3,3,27,20,21,5
42,50,Female,No,Travel_Frequently,Customer Support,Technical Support Engineer,Computer Science,Married,2,2,1,4,80,1330,79,13246,13089,3,4,2,4,Y,No,13,4,3,0,29,1,2,25,16,4,16
1354,20,Male,Yes,Travel_Rarely,Data & Analytics,Data Analyst,Computer Science,Divorced,7,2,1,3,80,564,65,4644,4306,2,1,4,6,Y,No,17,3,3,2,0,2,3,0,0,0,0
512,26,Male,No,Travel_Rarely,Customer Support,Technical Support Engineer,Information Technology,Divorced,17,1,1,3,80,574,58,10505,13057,3,3,4,3,Y,No,23,3,3,0,9,3,3,1,1,0,0
1357,54,Male,No,Non-Travel,Marketing,Digital Marketing Manager,Business Administration,Unknown,9,4,1,3,80,267,79,26733,6129,2,2,3,3,Y,Yes,19,3,1,0,35,3,3,29,16,5,9
1074,45,Male,No,Travel_Rarely,Human Resources,Hr Executive,Business Administration,Married,16,4,1,2,80,1330,54,9654,4943,1,2,2,8,Y,Yes,18,3,1,1,26,5,3,15,15,11,11
814,36,Male,No,Travel_Frequently,Sales,Sales Executive,Marketing,Married,5,4,1,1,80,1093,76,9652,24578,1,5,3,0,Y,Yes,11,3,3,2,18,3,3,16,1,5,12
531,31,Male,No,Travel_Rarely,Product,Product Analyst,Other,Married,15,5,1,3,80,396,52,24549,5771,1,2,4,3,Y,No,11,4,1,0,10,3,2,10,2,1,5
1168,22,Male,No,Travel_Rarely,Engineering,Software Engineer,Electrical Engineering,Single,4,2,1,3,80,1488,85,22051,9834,2,3,4,8,Y,Yes,22,3,4,2,0,2,3,0,0,0,0
13,36,Male,No,Non-Travel,Product,Ux Designer,Unknown,Divorced,6,4,1,2,80,449,74,7701,9880,1,2,1,4,Y,Yes,19,3,2,0,14,4,3,0,0,0,0
1183,26,Male,No,Travel_Rarely,Data & Analytics,Data Scientist,Computer Science,Married,23,4,1,4,80,752,90,21400,4942,3,1,2,6,Y,No,13,3,1,1,4,2,3,0,0,0,0
